st_uuid,st_name,緯度,經度,運作狀態,GPS主機電壓,電瓶電壓,抽水量,出水量
8b629ff6-f934-43f2-9255-72b4fea48092,五河-358（嘉義縣-141）,015c8609-f0f5-4588-bc84-300510b54605,d12927c2-4425-4c04-be81-395ebb554d65,2a99ca6c-eef5-4a33-9c2e-8002bcb3a68c,1559f541-0616-4085-94cd-0bcbb63d3a3b,1ac9d421-8295-4eb4-aae7-6298bf13709f,687e53ab-09ba-4bbc-8e5b-1e861c778eec,76930f83-31df-4771-9b40-524d22dc2287
85aa8a99-f95e-41c8-854e-1c171adee0fd,五河-359（嘉義縣-142）,9953a295-a6a5-4c65-bec1-a90beb7b1b0a,e03635b0-a073-4eac-a46a-97f5c3d50a06,57d0a444-795f-4bbf-98dd-df772c62664c,d4ef7094-abab-4710-b751-ff3bff8fffc3,7ccb54d5-6522-47df-85b9-a6ea790ff343,c9f4516f-b119-49c0-bc28-6f8fb969e17f,2f292658-f2d3-4d9a-8903-a4926c36cca7
f3efd814-c116-4e0f-b6ac-88f33f4e2e17,五河-360（嘉義縣-143）,4f4d5ea7-7753-46e6-9089-0203bf357911,aa7a1ad4-cefd-4f43-b723-50d4f9ec5d3b,3b9eafa9-5615-47a7-a29b-90126bfcf6b9,bbbfa869-7d01-4d34-bfeb-e473f07777bb,1a1e058c-9c45-45e1-82ae-0a8737979542,0ff4b3e3-16ee-40cc-a5da-c304272492ec,bd97cc16-a544-473d-aaaf-6416bf46efac
a35f089d-96c9-4e26-87d4-cc679d083a8f,五河-361（嘉義縣-144）,60270237-8052-42e1-bb1c-fc0855a54b9e,1886a4ed-6dc6-4f46-b3f8-9cac88b771c8,b14a9f25-3532-45dc-b02c-73417dd0c5db,9d28ef14-4310-48af-8d5a-cdc416669f0b,cfcd73ff-8689-440d-9333-710db217cbb2,89fdadee-2345-43d8-b092-5579d3ed3a62,7ba369fd-eb18-41e9-81b7-925c3b6ef715
465419cd-d9b0-433d-a6d8-47f5564b688b,五河-362（嘉義縣-145）,ba6499ab-78c5-4356-bb26-7623ab1fbee9,0344e187-509a-4f7a-acf6-66aa3cca96d9,71d2d9dd-cd82-4491-8b5f-7b33d2ef567a,ec2af3cb-0a7a-4361-9895-3c58740df490,7231be4a-c3c7-4209-b56b-cb0d414d9a16,5e15390c-2923-4307-9518-c5a48646e48d,515e07b3-84c6-4117-aa58-7bf21a83d6a3
39361133-4cc6-48de-a4ad-c7d9f928c67c,五河-363（嘉義縣-146）,d4f03155-ba7e-4521-bb58-35b6ba49f72f,105a5b23-b4b7-49ca-8dbc-ecfb23a78a76,6458a747-41cd-4e3c-8daf-7cda49003bd9,4c250455-1680-47e6-a5c8-64772724052c,c6c9757b-b692-4773-af79-805bbc98c40c,dd8e8e0b-55d0-49f9-9149-9302a7b93c4a,3816abf6-8814-4f12-86a4-51eef56dc5ea
2d48e216-65fa-4051-b5e7-25e43b86b033,嘉義縣-132(五河-312),df769d70-f308-4bf8-bdc0-0fe45d68f6cb,14a65a41-8425-45df-8ea5-0d106ec5e0cd,f2747747-37f9-4df8-856d-0036740f7517,6c1fcccc-d9ed-4dd8-b9bc-27850f5835ae,868bc097-fcac-4fae-9325-9c65ca14cd08,01d47b9c-a917-46a4-bcb7-166bc31bfeec,2935abc0-ce61-4967-8dd8-0c2669f4f186
8266e414-ad01-4448-8240-dec09a8ab179,嘉義縣-133(五河-346),3b8e809f-6d71-4e32-a4c5-e0cdec9c1873,014e2b73-2568-48d7-ad3a-afa6f30e3bcc,4ad5963d-666a-40b0-9182-e4da27a43beb,af023610-4f69-437e-b09b-7cd560beca27,90d90118-65ec-4d54-a82f-9216e4d171c9,e3b842fe-17be-43ac-9abb-b6340bb8c731,2c9833b4-c295-4e2e-b0d1-edbe9feb03cf
781c353e-7a66-4ec3-8ddb-3054a8406d41,嘉義縣-134(五河-347),fe5deb6e-ed40-4412-a6b4-f5bd8575f759,33692b16-f6a6-47b2-a88b-227516864d50,1e2eccc5-c601-4216-9f03-90cb7cb98dae,5e0b6ee3-803f-46e1-8e5d-652f0445a3f2,98733be5-bf92-4ced-8bb3-71b66b3e074c,486a0ab9-b9d7-44d2-bc82-0612ba046efe,d5e22a2e-6549-4ab5-91a6-5c1f5447c169
0e900409-848f-4360-a9f1-564860fb47d1,嘉義縣-135(五河-348),89d15a78-3534-40d3-9c4a-afac66d96a88,2a64d9af-1370-4303-8af3-1b48a7e4e4b7,205494d9-b82e-49a2-995e-0600f29ad29c,9f133283-6846-4443-8bec-e6a981b15eb3,f61f7a5f-b7cf-49e2-ba14-02cf32eed276,c4860b3b-eb4d-4442-a06d-a3ec71cce420,0e97bfc1-97d2-474e-917c-464a90fc998b
edcb2594-47e3-4cea-963d-219b7d270829,嘉義縣-136(五河-349),15eedb9c-bc16-4bbf-9276-3117b0ae0374,092ad5e2-0133-4438-b10e-d848d426f2cd,40d9f560-b8f6-4d47-a678-d40ec4512c55,ddd63193-1f20-49ee-b639-f97b8aa4f580,32722b48-5768-447b-a1f2-a1dbb76ecee0,fe47555d-2966-4309-8a9f-f4a7444c7b84,2fd1edba-6a33-458c-9b1e-4ecd8c86231e
e85d0adb-2b53-4d57-b5bf-fa67518dd029,嘉義縣-137(五河-345),5c52ae66-d73c-41e7-b702-0645f9df183f,7288883f-5626-42a2-bbc3-8eaf3507dc20,8881ea58-a5b5-4912-abd4-7e778f3cab26,2552dcea-5f95-4355-9277-e6b0b8c7c4ef,a37e1e04-b48c-446c-9171-5648bcde9fca,eb0baaa2-3d57-44ae-aab3-aafea005ac8f,6537fde5-1f26-4251-8a7e-0565bccd2090
3e6dd0d0-a1d9-4bcd-be01-b778a07053e1,嘉義縣-138(五河-316),5631f2a4-cd85-4d5f-8d5b-f7d3984906ad,343e75da-e837-43be-842a-e1f244bd10d1,35f9d8aa-fa79-43ca-854a-19e8211ef149,aeb185ae-a623-4a24-8c81-06e23a44e8cb,bb48dd1b-8ad8-4432-b053-4cfd6f6c60bf,23fda4fa-bc70-42e0-b979-fca65bbd30a5,008c5563-497a-405e-abb4-088a74a3c8dc
104051e7-927f-4ba8-9112-f06ccd8ff6c8,嘉義縣-139(五河-315),9c90d418-bd18-486c-9e52-0a60876445b3,be7f3854-952a-49c3-a368-6cbfb0282ccf,6acb75b0-da19-4a06-9391-dbe55ee32f81,8a4d437d-11ce-4962-a3a2-3c990fdcad04,9ec30083-fed4-4c1a-9b62-bfc200649742,a1454b14-f2b5-47ba-95fa-913e571cb1f2,330fbb16-3a62-4f49-8c76-e2803ccd7f6d
